word	percent	concreteness	count_head	count_occur
cluttered	0.714	24.44754	5	7
shower	0.712	49.17926	42	59
people	0.708	2.77582	412	582
grass	0.706	6.59613	168	238
cross	0.704	16.55884	19	27
to	0.702	1.13505	783	1116
friends	0.7	13.16415	7	10
flower	0.7	19.56144	14	20
rain	0.7	33.62890	14	20
sheet	0.7	12.58619	7	10
pans	0.7	37.00745	7	10
kids	0.694	7.80943	25	36
trees	0.692	5.45548	83	120
zoo	0.686	27.97813	24	35
glasses	0.686	9.79302	24	35
rocks	0.677	17.90876	21	31
lamp	0.667	18.57612	12	18
apples	0.667	68.38716	18	27
persons	0.667	10.50956	2	3
sail	0.667	71.28926	4	6
tank	0.667	19.67455	2	3
carrots	0.667	33.05429	30	45
propeller	0.667	56.84024	4	6
neck	0.667	17.33293	10	15
vehicles	0.667	14.79767	6	9
vest	0.667	21.09948	2	3
waters	0.667	20.00730	4	6
can	0.667	4.42438	10	15
curtains	0.667	33.73949	4	6
arm	0.667	6.77980	10	15
stairs	0.667	17.62715	6	9
decorations	0.667	15.45171	8	12
sweater	0.667	15.74831	2	3
blankets	0.667	33.10733	2	3
cars	0.661	12.85305	37	56
around	0.652	2.71824	88	135
away	0.647	5.68426	11	17
display	0.647	8.68540	33	51
hair	0.64	9.82030	16	25
toast	0.636	41.77811	7	11
shoes	0.625	14.89433	5	8
cloth	0.625	11.11698	5	8
shelves	0.625	21.02046	5	8
shade	0.625	13.72856	5	8
sea	0.625	17.03860	5	8
bushes	0.615	15.05265	8	13
chicken	0.611	29.91710	11	18
papers	0.6	26.49662	3	5
business	0.6	18.77475	3	5
fenced	0.6	16.87941	9	15
string	0.6	22.17888	3	5
sunglasses	0.6	13.01016	3	5
landing	0.6	59.29361	3	5
baked	0.588	21.64501	10	17
candles	0.586	38.43191	17	29
below	0.583	7.72295	7	12
pastries	0.583	35.64915	7	12
well	0.571	6.80806	8	14
shorts	0.571	13.94745	8	14
wild	0.571	22.07232	8	14
work	0.571	12.00671	4	7
action	0.571	14.83074	4	7
bikes	0.562	28.82885	18	32
fruit	0.559	23.93411	33	59
close	0.559	2.43721	66	118
motorcycles	0.559	46.15888	19	34
bananas	0.558	40.82666	43	77
potted	0.556	23.56999	5	9
subway	0.556	42.03757	5	9
scissors	0.548	39.39404	40	73
mirrors	0.545	39.94421	6	11
vegetables	0.544	21.98965	49	90
water	0.544	6.86125	149	274
graffiti	0.538	22.20669	7	13
oranges	0.537	82.33956	22	41
off	0.536	3.68299	30	56
are	0.53	1.47533	350	660
school	0.529	43.14216	9	17
cream	0.526	20.39274	10	19
other	0.524	1.91816	109	208
skis	0.52	28.67316	52	100
semi	0.5	72.89585	1	2
greens	0.5	27.60853	5	10
telephone	0.5	14.80899	4	8
cakes	0.5	36.39360	1	2
onions	0.5	29.25221	7	14
counters	0.5	48.81113	2	4
soda	0.5	27.91624	5	10
paddle	0.5	56.53105	2	4
roadway	0.5	13.00700	2	4
spectators	0.5	22.79257	2	4
bicycles	0.474	36.31198	9	19
remote	0.468	22.36434	29	62
snow	0.462	17.53317	97	210
up	0.461	1.27011	173	375
carrot	0.455	24.25953	5	11
meat	0.452	25.78571	19	42
out	0.446	1.71876	79	177
outside	0.444	2.34061	48	108
sliding	0.444	22.54044	4	9
shopping	0.444	20.25623	4	9
chain	0.444	15.61610	4	9
crowded	0.444	10.78867	4	9
cheese	0.439	24.93746	29	66
tomatoes	0.438	24.67156	7	16
dirty	0.438	17.72005	7	16
someone	0.429	3.53200	18	42
wires	0.429	32.42693	3	7
remotes	0.429	43.11528	3	7
umbrellas	0.426	34.31564	20	47
something	0.423	3.28428	22	52
bread	0.417	15.35445	15	36
pasta	0.417	79.47333	10	24
books	0.417	31.37749	5	12
getting	0.414	4.75717	24	58
surf	0.414	25.17247	12	29
paper	0.412	8.61247	21	51
black	0.407	2.18168	140	344
is	0.404	1.05613	683	1692
one	0.402	1.74169	51	127
ripe	0.4	66.37012	2	5
luggage	0.4	14.88589	26	65
cooked	0.4	24.91625	6	15
2	0.4	8.54433	2	5
stunt	0.4	26.88737	2	5
sunset	0.4	32.03514	2	5
gold	0.385	17.79006	5	13
round	0.385	7.33033	5	13
jet	0.382	45.69917	13	34
broccoli	0.381	56.74865	40	105
if	0.375	8.92270	3	8
formation	0.375	113.24714	3	8
pepperoni	0.375	96.38395	6	16
ski	0.364	26.95805	24	66
desktop	0.364	87.99580	4	11
sliced	0.364	22.22091	4	11
food	0.339	7.31273	77	227
messy	0.333	18.11205	4	12
jeans	0.333	16.19142	2	6
vegetable	0.333	21.81944	3	9
bacon	0.333	36.89428	4	12
good	0.333	9.45197	3	9
milk	0.333	21.26603	1	3
produce	0.333	78.13371	2	6
cute	0.333	5.36389	5	15
laughing	0.333	18.68366	1	3
sprinkles	0.333	107.66485	3	9
suits	0.333	37.82723	1	3
fancy	0.333	11.63443	2	6
jets	0.333	97.95687	1	3
trains	0.333	38.68238	1	3
apartment	0.333	16.39658	1	3
city	0.329	7.72107	57	173
orange	0.319	4.12869	30	94
wii	0.302	38.72874	19	63
drinks	0.3	13.84597	3	10
rice	0.294	56.42217	5	17
tea	0.286	22.06360	2	7
cargo	0.286	39.21821	2	7
snowboards	0.286	48.45610	2	7
flags	0.286	22.01743	2	7
square	0.286	10.94490	2	7
cattle	0.286	41.21051	4	14
dirt	0.284	8.65884	21	74
empty	0.281	4.31531	18	64
town	0.273	11.06887	3	11
wet	0.269	17.81537	7	26
dinner	0.267	18.68074	4	15
bath	0.258	29.04048	8	31
stop	0.255	19.80494	26	102
art	0.25	12.92651	1	4
urinals	0.25	82.29316	1	4
horseback	0.25	42.04809	1	4
straw	0.25	18.28864	1	4
beer	0.25	16.51827	2	8
sausage	0.25	30.62574	1	4
so	0.25	9.26927	1	4
female	0.25	12.30108	3	12
green	0.232	2.63123	56	241
dark	0.229	4.27572	8	35
high	0.227	6.05602	10	44
silver	0.226	7.29299	7	31
yellow	0.218	4.02685	29	133
open	0.216	2.89688	25	116
hay	0.214	32.28447	3	14
fried	0.214	32.13849	3	14
tricks	0.211	24.10114	4	19
pink	0.207	5.03102	12	58
wine	0.206	27.76835	7	34
glazed	0.2	93.89432	1	5
winter	0.2	13.33071	1	5
sale	0.2	38.89956	2	10
blue	0.194	2.43449	49	253
grey	0.19	5.16962	4	21
big	0.188	2.19716	16	85
striped	0.188	9.04429	3	16
's	0.183	1.89852	20	109
eye	0.182	12.88946	2	11
passengers	0.182	17.13309	2	11
construction	0.182	14.86715	2	11
tomato	0.182	30.94519	2	11
low	0.182	8.62768	2	11
country	0.174	20.99508	4	23
brown	0.17	4.96148	23	135
new	0.167	11.21749	2	12
smaller	0.167	10.49649	1	6
model	0.167	15.70140	1	6
purple	0.16	7.10161	4	25
chocolate	0.158	24.10110	6	38
traffic	0.154	17.66111	14	91
beautiful	0.154	4.70880	4	26
palm	0.154	17.07882	2	13
all	0.152	2.72160	7	46
red	0.147	2.69674	41	279
cement	0.143	10.84312	2	14
wire	0.143	12.40692	2	14
be	0.143	2.50924	6	42
nice	0.143	6.94146	2	14
lamps	0.143	60.09224	1	7
motion	0.143	13.15249	1	7
hotel	0.136	40.82482	3	22
huge	0.133	5.76787	2	15
alone	0.133	6.50726	2	15
others	0.125	5.65487	2	16
veggies	0.125	31.54382	1	8
fast	0.125	13.99544	1	8
night	0.125	21.30048	6	48
here	0.125	8.89404	1	8
fluffy	0.125	23.89762	1	8
pretty	0.125	4.40009	1	8
pickup	0.125	104.85464	1	8
mustard	0.125	140.57983	1	8
leather	0.125	20.04717	1	8
dry	0.12	22.82820	3	25
flat	0.118	20.64571	2	17
colorful	0.115	5.22113	7	61
baseball	0.112	25.83562	28	249
cloudy	0.111	14.14752	3	27
smoke	0.111	82.57187	2	18
mushrooms	0.111	43.90510	1	9
wooded	0.111	12.18860	2	18
blurry	0.111	11.18339	1	9
stainless	0.111	59.74381	1	9
tan	0.111	8.36241	1	9
busy	0.105	15.39488	4	38
passenger	0.105	18.45291	2	19
parking	0.101	11.22309	7	69
right	0.1	4.53383	1	10
long	0.1	3.94967	6	60
i	0.1	35.16812	1	10
as	0.095	1.73093	12	126
mid	0.091	13.24161	1	11
wood	0.091	7.91421	4	44
trash	0.091	17.54360	1	11
hard	0.083	13.15330	1	12
video	0.083	31.34747	5	60
american	0.083	43.81709	1	12
vintage	0.083	11.45189	1	12
no	0.08	5.41987	2	25
home	0.079	10.94763	3	38
steel	0.077	26.61498	1	13
decorative	0.077	10.99499	1	13
another	0.076	2.34062	6	79
public	0.074	10.08117	2	27
overhead	0.071	11.36227	1	14
five	0.071	8.53350	1	14
coffee	0.07	15.74892	4	57
it	0.068	1.57889	34	499
tooth	0.067	59.53408	1	15
same	0.067	6.28418	1	15
police	0.067	44.85741	1	15
tall	0.063	8.66383	5	79
large	0.063	1.99918	30	474
gray	0.061	6.01461	2	33
old	0.06	4.30597	7	117
rocky	0.059	18.04039	1	17
half	0.056	9.61206	2	36
railroad	0.056	37.86979	1	18
modern	0.053	14.35627	1	19
white	0.047	1.77878	29	619
together	0.044	3.14580	5	114
many	0.042	2.60811	5	119
skate	0.042	22.81315	2	48
birthday	0.037	35.22432	1	27
bright	0.036	4.19837	1	28
plastic	0.033	9.11671	1	30
stone	0.033	10.29055	1	30
there	0.028	1.51333	6	217
living	0.026	21.16982	3	117
teddy	0.023	38.12854	2	86
young	0.023	3.01313	7	309
cell	0.021	13.31864	2	95
metal	0.019	4.25815	1	53
small	0.019	1.79121	7	375
each	0.018	2.76734	2	111
while	0.018	1.94841	4	223
this	0.017	2.20633	2	118
hot	0.015	33.44886	1	68
three	0.014	2.28471	2	142
four	0.014	3.95126	1	74
stuffed	0.013	24.41599	1	78
grassy	0.012	9.81835	1	86
tennis	0.011	27.81152	3	268
its	0.01	3.71755	1	96
very	0.008	1.97916	1	120
wooden	0.006	3.40840	1	160
two	0.006	1.53374	5	804
her	0.006	3.52990	1	170
a	0.001	1.00115	12	16518
the	0.001	1.08807	2	3293
.	0.001	1.00007	4	7526
